RESPNO,URBRUR,REGION,EA_SVC_A,EA_SVC_B,EA_SVC_C,EA_SVC_D,EA_SVC_E,EA_FAC_A,EA_FAC_B,EA_FAC_C,EA_FAC_D,EA_FAC_E,EA_FAC_F,EA_FAC_G,EA_SEC_A,EA_SEC_B,EA_SEC_C,EA_SEC_D,EA_SEC_E,EA_ROAD_A,EA_ROAD_B,EA_ROAD_C,NOCALL_1,NOCALL_1OTHER,NOCALL_2,NOCALL_2OTHER,NOCALL_3,NOCALL_3OTHER,NOCALL_4,NOCALL_4OTHER,NOCALL_5,NOCALL_6,NOCALL_7,NOCALL_8,NOCALL_9,NOCALL_10,NOCALL_11,NOCALL_12,THISINT,ADULT_CT,CALLS,DATEINTR,STRTIME,Q1,Q2,Q2OTHER,Q3,Q4A,Q4B,Q5,Q6A,Q6B,Q7A,Q7B,Q7C,Q7D,Q7E,Q8A,Q8B,Q9,Q10A,Q10B,Q10C,Q11A,Q11B,Q11C,Q12A,Q12B,Q12C,Q12D,Q12E_CAM,Q13,Q14,Q15A,Q15B,Q15C,Q15D_1,Q15D_2,Q15D_3,Q15D_4,Q15D_5,Q15D_6,Q15D_7,Q15DOTHER,Q16A,Q16B,Q17A,Q17B,Q17C,Q17D,Q18A,Q18B,Q18C,Q19A,Q19B,Q20A,Q20B,Q20C,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35A,Q35B,Q35C,Q35D,Q36,Q37,Q38A,Q38B,Q38C,Q39A,Q39B,Q40A,Q40B,Q40C,Q40D,Q40E,Q40F,Q40G,Q41A,Q41B,Q41C,Q41D,Q41E,Q41F,Q41G,Q41H,Q41I,Q41J,Q41K,Q41L,Q41M_CAM,Q42A,Q42B,Q42C,Q42D,Q42E,Q42F,Q42G,Q42H,Q42I,Q42J_CAM,Q42K_CAM,Q43A,Q43B,Q44A,Q44B,Q44C,Q44D,Q44E,Q44F,Q44G,Q44H,Q44I,Q44J,Q44K,Q44L,Q44M,Q44N,Q45,Q46A,Q46B,Q46C,Q46D,Q47A,Q47B,Q47C,Q47D,Q48PT1,Q48PT1OTHER,Q48PT2,Q48PT2OTHER,Q48PT3,Q48PT3OTHER,Q49A,Q49B,Q50A,Q50B,Q50C,Q50D,Q50E,Q50F,Q50G,Q50H,Q50I,Q50J,Q50K,Q50L,Q50M,Q50N,Q50O,Q51A,Q51B,Q51C,Q51D,Q52A,Q52B,Q53A,Q53B,Q53C,Q54A,Q54B,Q54C,Q55A,Q55B,Q55C,Q55D,Q55E,Q56,Q57A,Q57B,Q57C,Q57D,Q57E,Q58A,Q58B,Q58C,Q58D,Q59A,Q59B,Q59C,Q59D,Q59E,Q59F,Q60,Q61,Q62,Q63,Q64A,Q64B,Q65A,Q65B,Q65C,Q65D,Q66,Q67,Q68,Q69A,Q69AOther,Q69B,Q70A,Q70B,Q70C,Q70D,Q70E,Q70F,Q70G,Q70H,Q71,Q71Other,Q72A,Q72B,Q73,Q74,Q75,Q76A_CAM,Q76B_CAM,Q77_CAM,Q78_CAM,Q79A_CAM,Q79B_CAM,Q79C_CAM,Q79D_CAM,Q80A_CAM,Q80B_CAM,Q80C_CAM,Q80D_CAM,Q80E_CAM,Q80F_CAM,Q80G_CAM,Q80H_CAM,Q80I_CAM,Q81,Q81OTHER,Q82A,Q82B,Q82C,Q82D,Q83,Q84A,Q84B,Q84C,Q85,Q86A,Q86B,Q86C,Q86D,Q86E,Q87A,Q87B,Q87C,Q87D,Q87E,Q88,Q89A,Q89B,Q90,COV1,COV2,COV3,COV4,COV5,COV6,COV7,COV8,COV9,COV10,COV11,COV12,COV13,COV14,COV15,COV16,COV17,COV18,COV19,COV20,COV21,COV22,COV23,COV24,Q91A,Q91B,Q91BOTHER,Q92A,Q92B,Q92C,Q92D,Q92E,Q92F,Q92G,Q92H,Q92I,Q93A,Q93B,Q94A,Q94B,Q94C,Q94D,Q94E,Q95A,Q95B,Q95C,Q95COTHER,Q95D,Q96A,Q96B,Q96C,Q97,Q98A,Q98B,Q99,Q99OTHER,Q100,ENDTIME,LENGTH,Q101,Q102,Q103,Q104,Q105,Q106,Q107A,Q107B,Q107C,Q107D,Q107E,Q108,Q110A,Q110B,Q110C,Q110D,Q110E,Q110F,Q112,Q113,Q114,Q115,Q116,Q116Other,Q117,Q117Other,Q118,Q119_1,Q119_2,Q119_3,Q119_4,Q119_5,Q119_6,Q119OTHER,withinwt_ea,withinwt_hh
CAM0001,1,1223,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,5,5,4,9997,,9997,,9997,,9997,,9997,9997,9997,9997,9997,9997,9997,9997,1,3,1,17.02.21,7:53,40,2,,1,1,3,3,2,2,2,4,0,0,2,2,0,2,2,4,4,4,4,1,0,0,0,0,0,0,1,0,0,1,1220,9996,9996,9996,9996,9996,9996,,0,0,0,2,3,3,0,0,1,4,1,1,1,1,3,3,4,1,4,94,94,4,1,4,94,4,1,1,1,40,1,75,2,1,0,0,0,1,1,2,3,3,2,2,3,1,0,0,0,0,0,1,3,3,0,3,0,3,0,1,1,1,1,1,2,2,2,1,2,2,1,1,0,7,7,1,1,0,0,7,7,0,7,7,3,0,1,4,4,3,1,94,4,1,3,26,,29,,29,,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,94,3,0,0,4,0,1,0,1,4,0,4,4,1,3,1,1,0,94,4,1,1,1,1,4,2,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,2,3,3,4,1,5,5,5,5,1,,1,4,1,1,1,1,1,1,1,2,2,4,4,1,1,1,1,1,1,1,1,1,1221,,2,4,1,1,0,2,0,3,4,5,5,1,4,94,4,3,4,4,5,1,1,94,2,3,2,2,94,3,5,94,5,1,0,2,3,3,2,1,3,3,1,2,1,1,1,1,4,1,1225,,1,1,0,0,2,2,1,4,4,5,2,1,4,0,97,7,0,7,4,,1,1,3,6,5,2,0,1225,,8,9:55,122,1,1,2,3,1,1,0,0,0,0,0,4,1,1,1,1,1,1,CAM10,31,1,2,1225,,1225,,9,2,9996,9996,9996,9996,9996,,1.44725981,1.44725981
CAM0002,1,1223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,5,5,5,9997,,9997,,9997,,9997,,9997,9997,9997,9997,9997,9997,9997,9997,1,1,1,17.02.21,7:57,30,2,,1,3,3,0,3,3,0,1,0,0,1,0,0,1,3,3,4,1,1,0,0,0,0,0,0,3,3,0,0,0,9997,9997,9997,9997,9997,9997,9997,,1,0,1,1,3,3,0,0,2,4,2,1,1,1,1,1,3,1,4,94,94,3,3,4,94,4,1,1,1,32,1,52,2,2,2,2,2,5,5,1,1,0,2,2,1,0,3,1,0,0,1,1,2,3,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,3,0,1,2,0,0,7,7,1,2,0,0,7,7,0,7,3,2,4,3,2,94,2,4,2,14,,23,,3,,4,3,3,3,2,2,9,3,3,3,1,2,1,1,4,1,9,2,9,9,3,94,3,1,1,1,0,0,0,4,3,2,4,4,2,2,2,1,3,94,5,5,2,1,1,5,4,4,4,2,4,2,3,2,1,1,1,1,0,1,1,4,2,1220,,9,4,4,2,1,2,2,4,4,1,,1,4,1,4,4,1,4,3,1,1,2,2,3,1,1,1,1,1,2,1,4,2,1221,,0,4,1,1,1,0,0,0,2,3,3,3,3,94,1,1,1,2,2,2,4,94,3,3,2,1,94,5,2,94,1,1,0,3,2,2,1,1,1,1,5,3,1,5,5,5,4,0,9997,,2,2,0,2,2,2,1,4,4,2,2,1,4,0,97,7,0,7,11,,2,1,1,97,8,2,0,1225,,1,9:34,97,1,1,2,5,1,3,0,0,0,0,0,4,1,1,1,1,2,1,CAM08,25,2,2,1222,,1222,,8,1,2,1222,9996,9996,9996,,0.98107516,0.37374292
CAM0003,1,1223,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,5,5,4,5,,1,,9997,,9997,,9997,9997,9997,9997,9997,9997,9997,9997,2,2,1,17.02.21,8:04,25,2,,1,2,3,1,2,2,0,0,2,2,2,0,0,1,1,3,4,1,3,1,0,0,0,0,0,0,3,0,0,0,9997,9997,9997,9997,9997,9997,9997,,9,0,9,9,0,3,9,9,9,3,2,2,5,1,3,4,2,1,4,94,94,3,2,2,94,4,1,2,1,35,1,80,3,2,1,1,1,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,9,1,1,1,1,1,1,1,1,0,0,7,7,1,2,0,0,7,7,0,7,7,3,0,2,2,2,4,9,94,5,5,2,3,,2,,31,,4,1,1,1,3,1,2,1,1,2,2,3,1,1,4,2,2,1,9,9,9,94,0,1,1,4,0,1,0,3,4,3,4,4,2,9,1,3,3,94,5,4,2,5,1,5,5,5,5,2,3,4,1,1,1,4,1,1,9,9,2,2,1,1,,3,9,4,4,1,4,4,5,9,1,,1,4,4,4,3,5,5,4,3,4,4,4,4,1,1,1,1,1,2,2,1,1,1221,,1,5,1,1,0,2,0,2,2,5,5,1,4,94,3,4,9,3,4,3,4,94,3,4,2,2,94,2,5,94,4,2,0,5,1,3,1,1,2,3,9,4,5,4,5,4,4,0,9997,,0,2,0,2,2,2,1,3,3,4,1,1,4,0,97,7,1,7,7,,1,3,2,7,5,1,1,1225,,99,11:46,222,2,1,2,1,1,4,0,0,0,0,0,3,1,1,2,1,2,1,CAM09,27,2,2,1224,,1229,,9,2,9996,9996,9996,9996,9996,,1.44725981,0.96483987
CAM0004,1,1223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,5,5,5,9997,,9997,,9997,,9997,,9997,9997,9997,9997,9997,9997,9997,9997,1,2,1,17.02.21,8:07,28,2,,2,4,4,0,3,4,0,3,0,1,1,2,2,1,3,4,4,0,4,0,0,0,0,0,0,0,2,0,0,0,9997,9997,9997,9997,9997,9997,9997,,1,0,0,1,2,3,0,0,2,4,1,1,1,1,3,3,1,2,3,94,94,2,2,3,94,3,2,5,1,30,1,60,3,2,1,1,1,1,4,2,0,1,2,2,2,2,3,2,2,2,2,2,3,3,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,3,0,1,2,0,0,7,7,0,7,7,0,7,7,3,0,3,2,3,2,1,94,2,1,2,24,,13,,29,,1,1,2,1,2,1,2,3,2,3,1,1,2,2,2,2,2,3,3,3,3,94,1,2,2,0,0,0,2,3,4,0,4,4,2,2,2,2,3,94,5,4,5,5,1,5,5,4,4,3,2,2,1,2,3,3,1,1,0,2,3,2,3,6,,0,3,4,2,1,2,2,2,3,0,,0,7,4,2,1,5,5,2,2,3,2,4,4,1,1,1,1,1,1,2,2,2,1220,,1,3,1,1,1,0,0,0,4,3,3,1,3,94,2,2,3,3,4,1,4,94,2,0,97,97,94,97,97,94,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,1,1220,,0,2,0,2,8,2,1,4,4,2,2,1,4,0,97,7,1,7,1,,7,3,1,97,5,0,7,1220,,2,9:49,103,1,1,2,8,1,3,0,0,0,0,0,3,2,2,2,3,2,2,CAM13,31,2,2,1222,,1222,,6,2,1222,1237,9996,9996,9996,,0.98107516,0.74748584
CAM0005,1,1223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,5,5,5,1,,9997,,9997,,9997,,9997,9997,9997,9997,9997,9997,9997,9997,1,3,1,17.02.21,8:09,47,2,,1,1,1,3,1,1,3,3,3,3,3,4,2,2,3,3,3,3,2,0,0,0,0,0,0,0,9,1,1,1,1224,9996,9996,9996,9996,9996,9996,,1,0,1,1,2,2,0,0,3,9,4,1,1,1,3,9,5,5,5,94,94,4,5,5,94,5,5,9,1,50,0,997,1,1,0,0,0,1,1,0,2,2,2,3,3,0,0,0,0,0,0,0,2,3,0,0,0,2,0,1,1,1,2,1,1,9,1,1,3,9,1,1,1,2,0,1,4,0,0,7,7,0,7,7,2,0,5,2,4,2,3,94,5,1,3,24,,14,,9996,,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94,1,0,0,3,0,0,0,3,4,1,1,1,1,3,3,3,3,94,5,2,2,1,1,5,5,5,4,4,4,5,4,5,5,5,1,1,0,9,1,4,8,2,,3,9,9,9,1,2,2,4,2,1,,1,9,4,3,5,4,5,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1220,,2,2,1,1,0,3,0,2,2,3,3,1,3,94,2,4,1,2,5,1,4,94,2,4,2,2,94,0,3,94,2,2,0,9,2,1,1,1,1,1,5,1,1,1,1,1,4,0,9997,,2,2,0,0,0,2,0,4,1,3,2,1,4,0,97,7,0,7,4,,1,1,1,97,4,1,1,9998,,99,10:39,150,1,1,2,3,1,1,0,0,0,0,0,4,1,2,1,2,2,1,CAM12,31,1,2,1230,,1230,,9,2,9996,9996,9996,9996,9996,,0.98107516,1.12122875
CAM0006,1,1223,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,5,5,4,1,,9997,,9997,,9997,,9997,9997,9997,9997,9997,9997,9997,9997,1,4,1,17.02.21,8:10,30,2,,1,1,3,2,4,2,2,1,2,2,3,3,0,1,1,1,4,4,3,0,1,0,2,0,0,3,2,1,0,0,9997,9997,9997,9997,9997,9997,9997,,0,0,1,2,2,1,0,1,2,4,1,1,1,1,3,3,3,1,4,94,94,1,1,3,94,4,2,1,1,40,1,70,2,2,1,2,2,4,2,2,2,2,3,3,2,1,2,1,1,2,0,2,2,3,1,0,2,2,0,1,1,1,1,1,0,1,1,1,1,0,2,1,1,2,0,1,3,1,1,2,0,0,7,7,0,7,2,3,4,3,2,94,5,4,2,14,,29,,29,,4,3,2,3,1,2,1,3,3,2,1,1,2,1,3,1,2,1,3,3,3,94,1,0,1,3,2,1,0,4,4,3,4,4,0,3,3,2,3,94,5,2,4,5,1,4,2,4,4,4,3,1,2,1,4,4,1,1,1,0,3,3,1,6,,3,4,4,2,1,4,4,4,4,1,,1,4,1,3,3,4,5,4,1,4,4,4,3,1,1,1,1,2,1,2,2,1,1220,,1,3,1,1,0,2,1,3,4,4,5,1,5,94,4,4,4,2,4,2,4,94,2,4,2,2,94,2,5,94,2,2,0,2,2,3,1,1,1,3,3,3,2,2,5,2,3,1,1220,,1,2,0,2,2,2,1,4,4,5,3,1,3,1,3,2,0,7,4,,1,1,3,10,8,2,0,1225,,2,10:03,113,1,1,2,3,1,1,0,0,0,0,0,4,1,1,1,1,1,1,CAM11,31,2,2,1239,,1239,,9,2,9996,9996,9996,9996,9996,,1.44725981,1.92967975
CAM0007,1,1227,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,5,5,6,1,,9997,,9997,,9997,,9997,9997,9997,9997,9997,9997,9997,9997,1,4,1,17.02.21,8:31,23,2,,1,4,4,2,1,3,0,0,0,0,0,0,0,0,1,1,3,1,1,0,0,0,0,0,0,3,2,0,0,0,9997,9997,9997,9997,9997,9997,9997,,1,0,1,0,2,3,0,0,1,3,3,1,2,2,3,3,2,1,4,94,94,4,4,4,94,4,1,1,1,35,1,55,2,2,1,1,1,5,2,2,1,0,3,3,2,2,2,2,2,2,1,1,3,3,2,2,2,3,2,0,1,1,1,1,1,1,1,0,1,1,2,1,0,7,7,1,2,0,1,3,0,0,7,7,2,0,3,2,3,3,5,94,5,5,1,13,,23,,1,,5,1,2,2,2,2,2,3,4,3,2,2,2,2,2,2,2,3,2,4,4,94,3,0,0,2,0,0,0,4,4,4,4,3,1,2,2,2,3,94,5,2,2,2,1,5,5,2,2,2,4,1,2,2,4,3,9,7,7,7,3,4,2,1220,,2,5,5,5,1,4,5,2,2,1,,1,4,4,1,4,5,5,4,3,4,4,4,4,1,1,1,1,1,1,1,1,1,1223,,1,5,1,1,0,0,2,2,1,3,3,1,3,94,2,4,2,4,4,2,4,94,3,3,2,2,94,4,4,94,2,2,0,1,4,4,1,2,1,1,3,4,1,2,4,4,4,0,9997,,1,1,0,2,2,2,1,4,3,4,1,1,2,0,97,7,3,1,10,,2,4,3,12,7,2,0,1220,,8,10:00,88,1,1,2,1,1,4,0,0,0,0,0,4,1,1,1,1,1,1,CAM16,27,1,2,2221,,1234,,8,2,9996,9996,9996,9996,9996,,1.08912330,1.34045944
CAM0008,1,1223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,5,5,5,1,,9997,,9997,,9997,,9997,9997,9997,9997,9997,9997,9997,9997,1,3,1,17.02.21,8:34,30,2,,1,2,3,0,3,2,2,2,0,2,3,1,0,1,2,2,2,2,4,0,0,0,1,1,0,3,3,1,0,1,1220,9996,9996,9996,9996,9996,9996,,1,0,2,1,3,2,0,0,3,2,3,1,4,1,2,1,5,1,4,94,94,1,4,4,94,4,1,1,1,35,1,70,2,2,1,1,3,5,5,1,0,0,2,2,2,2,1,1,1,2,1,2,2,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,3,1,0,7,7,1,3,0,1,4,0,0,7,7,1,1,4,3,3,3,2,94,5,5,2,3,,23,,20,,5,1,2,2,2,2,1,3,3,2,2,2,2,2,3,2,2,3,3,3,3,94,0,1,3,3,2,0,0,4,4,2,4,4,1,2,2,2,3,94,5,2,2,1,1,5,5,5,5,4,1,1,2,1,4,1,1,1,1,4,4,4,1,6,,3,5,2,4,1,4,4,5,5,1,,1,5,4,1,4,5,5,4,2,3,3,4,4,1,1,1,1,1,1,1,3,1,1220,,1,3,1,1,0,0,0,1,4,5,5,1,5,94,3,3,3,3,5,2,4,94,3,4,2,1,94,2,5,94,4,3,1,1,3,3,2,1,2,2,4,3,2,5,5,5,3,0,9997,,2,2,0,2,0,2,1,4,4,1,3,1,4,1,3,1,1,7,6,,2,1,1,97,9,2,1,9998,,3,10:25,112,1,1,2,1,1,1,0,0,0,0,0,4,1,1,1,1,2,1,CAM14,52,2,2,1234,,1234,,9,2,9996,9996,9996,9996,9996,,0.98107516,1.12122875
CAM0009,1,1221,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,2,2,5,1,,3,,2,,9997,,9997,9997,9997,9997,9997,9997,9997,9997,1,3,1,17.02.21,8:39,20,1245,,1,2,2,1,3,4,2,2,0,2,3,3,0,1,3,4,4,1,3,3,1,0,1,1,0,3,2,1,0,0,9997,9997,9997,9997,9997,9997,9997,,1,3,0,0,2,1,0,1,3,4,4,2,5,2,2,2,4,2,4,94,94,1,2,4,94,2,2,1,1,30,1,65,2,3,0,1,1,4,4,1,1,1,1,2,1,0,3,1,2,3,1,1,2,3,1,0,2,3,1,1,1,2,0,2,2,2,2,0,2,1,2,1,0,7,7,1,3,0,0,7,7,1,3,0,1,0,2,3,3,3,3,94,4,4,1,23,,24,,3,,4,5,2,2,2,2,3,1,2,2,2,2,1,1,2,1,2,2,4,3,4,94,1,2,1,2,0,2,0,4,4,3,4,4,2,2,1,2,3,94,5,4,5,5,1,5,2,4,4,4,4,1,1,1,4,2,9,7,7,7,4,4,1,6,,2,3,4,5,1,2,4,5,4,1,,0,7,4,3,3,4,5,4,3,4,4,4,4,1,1,1,2,1,1,2,1,1,1223,,3,4,1,1,0,1,1,1,2,3,3,1,4,94,3,4,3,3,2,1,2,94,2,3,2,1,94,2,4,94,4,2,1,2,2,3,2,2,2,3,1,4,2,4,2,4,3,1,1220,,2,2,0,0,2,2,1,4,3,2,2,1,2,0,97,7,1,7,1,,7,4,3,95,4,18,1,1220,,1,9:56,77,1,1,2,1,1,1,0,0,0,0,0,4,1,1,1,1,1,1,CAM25,29,1,2,1243,,9995,GUIDAR,9,2,1220,9996,9996,9996,9996,,1.43777327,1.23237709
CAM0010,1,1227,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,5,5,6,7,,1,,9997,,9997,,9997,9997,9997,9997,9997,9997,9997,9997,2,5,1,17.02.21,8:49,20,2,,2,1,5,0,1,1,0,0,0,0,0,0,0,1,4,2,4,0,3,0,0,0,0,0,0,0,3,0,0,0,9997,9997,9997,9997,9997,9997,9997,,1,0,1,2,1,3,0,0,2,3,3,2,5,4,1,4,4,2,4,94,94,1,1,1,94,3,4,2,1,35,1,40,2,1,1,0,1,2,2,0,3,0,3,2,3,1,2,0,2,2,2,2,2,3,3,2,3,3,2,3,2,2,1,2,2,1,2,2,1,2,1,1,0,7,7,1,3,0,0,7,7,0,7,7,1,0,2,3,4,4,2,94,4,1,2,3,,24,,4,,4,1,1,2,3,2,2,1,2,1,2,1,2,1,1,1,1,3,2,2,3,94,1,1,0,3,0,1,0,2,4,1,4,4,1,1,3,0,3,94,2,4,5,4,1,5,4,4,4,3,2,1,1,1,3,3,9,7,7,7,2,3,4,1,,3,3,4,3,2,4,4,3,3,1,,1,2,2,2,2,5,2,1,2,2,4,4,4,1,1,1,1,1,1,1,1,1,1221,,2,3,1,1,0,2,0,2,4,3,4,3,4,94,3,4,3,3,3,1,4,94,2,3,2,2,94,3,4,94,2,2,0,1,3,4,3,2,1,1,1,3,4,4,5,2,3,0,9997,,0,2,0,0,0,2,1,4,4,1,2,1,4,0,97,7,0,7,1,,7,4,4,4,7,2,0,9997,,1,10:54,125,2,1,2,1,1,1,0,0,0,0,0,4,2,1,1,3,1,1,CAM18,40,2,2,1234,,1234,,8,2,9996,9996,9996,9996,9996,,1.08912330,1.67557431
